,NewGenPopulation,NewGenOrange,NewGenYellow,NewGenBlue,TotalPop,TotalOrange,TotalYellow,TotalBlue,ShareOrange,ShareYellow,ShareBlue,BestStrategy,Pred_O,Pred_Y,Pred_B
81,3041,195,1409,1437,9033,636.0,4888.0,3509.0,0.07040850215875125,0.5411269788553084,0.3884645189859404,Blue,,,
82,3023,167,1124,1732,9084,569.0,4200.0,4315.0,0.06263760457948041,0.4623513870541612,0.47501100836635846,Blue,,,
83,3082,217,831,2034,9146,579.0,3364.0,5203.0,0.06330636343756833,0.3678110649464247,0.568882571616007,Blue,,,
84,3071,220,574,2277,9176,604.0,2529.0,6043.0,0.06582388840453357,0.2756102877070619,0.6585658238884046,Blue,,,
85,3109,288,346,2475,9262,725.0,1751.0,6786.0,0.07827683005830274,0.1890520405959836,0.7326711293457137,Blue,,,
86,3100,365,214,2521,9280,873.0,1134.0,7273.0,0.09407327586206897,0.12219827586206897,0.7837284482758621,Blue,,,
87,3094,489,100,2505,9303,1142.0,660.0,7501.0,0.12275610018273675,0.0709448564979039,0.8062990433193593,Blue,,,
88,3070,651,69,2350,9264,1505.0,383.0,7376.0,0.16245682210708118,0.04134283246977547,0.7962003454231433,Blue,,,
89,3024,881,40,2103,9188,2021.0,209.0,6958.0,0.21996081845885937,0.022747061384414454,0.7572921201567262,Blue,,,
90,3053,1163,34,1856,9147,2695.0,143.0,6309.0,0.29463211982070625,0.015633541051710942,0.6897343391275829,Blue,,,
91,3084,1525,45,1514,9161,3569.0,119.0,5473.0,0.38958628970636394,0.012989848269839538,0.5974238620237965,Orange,,,
92,3130,1906,54,1170,9267,4594.0,133.0,4540.0,0.4957375633970001,0.0143520017265566,0.4899104348764433,Orange,,,
93,3087,2266,70,751,9301,5697.0,169.0,3435.0,0.6125147833566283,0.018170089237716375,0.3693151274056553,Orange,,,
94,3095,2547,82,466,9312,6719.0,206.0,2387.0,0.7215420962199313,0.022121993127147768,0.25633591065292094,Orange,,,
95,3097,2758,108,231,9279,7571.0,260.0,1448.0,0.815928440564716,0.028020260803965944,0.15605129863131803,Orange,,,
96,3111,2860,157,94,9303,8165.0,347.0,791.0,0.8776738686445232,0.037299795764807055,0.08502633559066967,Orange,,,
97,3115,2869,210,36,9323,8487.0,475.0,361.0,0.9103292931459831,0.05094926525796417,0.03872144159605277,Orange,,,
98,3129,2809,295,25,9355,8538.0,662.0,155.0,0.9126670229823624,0.07076429716729021,0.016568679850347406,Orange,,,
99,3133,2696,417,20,9377,8374.0,922.0,81.0,0.893036152287512,0.09832569051935587,0.008638157193132132,Orange,,,
100,3150,2551,583,16,9412,8056.0,1295.0,61.0,0.8559286017849553,0.13759031024224394,0.00648108797280068,Orange,,,
101,3173,2357,798,18,9456,7604.0,1798.0,54.0,0.8041455160744501,0.19014382402707275,0.005710659898477157,Orange,,,
102,3168,2067,1077,24,9491,6975.0,2458.0,58.0,0.7349067537667263,0.25898219365714886,0.00611105257612475,Orange,,,
103,3204,1722,1440,42,9545,6146.0,3315.0,84.0,0.6438973284442117,0.3473022524882137,0.008800419067574646,Orange,,,
104,3227,1365,1814,48,9599,5154.0,4331.0,114.0,0.5369309303052401,0.45119283258672777,0.011876237108032086,Yellow,,,
105,3260,988,2215,57,9691,4075.0,5469.0,147.0,0.42049324115158393,0.5643380456093282,0.015168713239087814,Yellow,,,
106,3283,618,2586,79,9770,2971.0,6615.0,184.0,0.30409416581371546,0.6770726714431935,0.018833162743091096,Yellow,,,
107,3314,353,2875,86,9857,1959.0,7676.0,222.0,0.19874201075377904,0.7787359237090392,0.0225220655371817,Yellow,,,
108,3349,159,3065,125,9946,1130.0,8526.0,290.0,0.1136135129700382,0.8572290367987131,0.029157450231248744,Yellow,,,
109,3311,67,3079,165,9974,579.0,9019.0,376.0,0.05805093242430319,0.9042510527371165,0.03769801483858031,Yellow,,,
110,3298,23,3050,225,9958,249.0,9194.0,515.0,0.025005021088572003,0.9232777666198032,0.05171721229162483,Yellow,,,
111,3237,5,2909,323,9846,95.0,9038.0,713.0,0.00964858825919155,0.9179362177534024,0.07241519398740605,Yellow,,,
112,3230,12,2780,438,9765,40.0,8739.0,986.0,0.00409626216077829,0.8949308755760369,0.10097286226318485,Yellow,,,
113,3236,16,2614,606,9703,33.0,8303.0,1367.0,0.0034010099969081727,0.8557147274038956,0.14088426259919612,Yellow,,,
114,3266,20,2403,843,9732,48.0,7797.0,1887.0,0.004932182490752158,0.8011713933415536,0.1938964241676942,Yellow,,,
115,3264,28,2111,1125,9766,64.0,7128.0,2574.0,0.006553348351423305,0.7298791726397706,0.26356747900880606,Yellow,,,
